,DP03_0096PE,NAME,state
0,87.9,Alabama,01
1,82.8,Alaska,02
2,86.4,Arizona,04
3,88.2,Arkansas,05
4,87.6,California,06
5,89.7,Colorado,08
6,93.1,Connecticut,09
7,92.2,Delaware,10
8,94.7,District of Columbia,11
9,83.4,Florida,12
10,84.2,Georgia,13
11,94.7,Hawaii,15
12,86.4,Idaho,16
13,90.3,Illinois,17
14,88.1,Indiana,18
15,93.8,Iowa,19
16,89.8,Kansas,20
17,91.5,Kentucky,21
18,85.2,Louisiana,22
19,89.9,Maine,23
20,92.1,Maryland,24
21,96.7,Massachusetts,25
22,91.5,Michigan,26
23,94.1,Minnesota,27
24,85.5,Mississippi,28
25,88.3,Missouri,29
26,85.8,Montana,30
27,90.3,Nebraska,31
28,84.8,Nevada,32
29,90.8,New Hampshire,33
30,89.1,New Jersey,34
31,85.5,New Mexico,35
32,91.3,New York,36
33,86.9,North Carolina,37
34,92.1,North Dakota,38
35,91.6,Ohio,39
36,84.6,Oklahoma,40
37,90.3,Oregon,41
38,91.5,Pennsylvania,42
39,92.6,Rhode Island,44
40,86.4,South Carolina,45
41,90.2,South Dakota,46
42,88.0,Tennessee,47
43,80.9,Texas,48
44,87.5,Utah,49
45,95.0,Vermont,50
46,89.1,Virginia,51
47,90.8,Washington,53
48,91.4,West Virginia,54
49,92.7,Wisconsin,55
50,88.0,Wyoming,56
51,93.9,Puerto Rico,72
